feature,coef,intercept
ЕДА :: Мучное пшеница,0.2582439876335512,-0.14640901829206032
ЕДА :: Сладость (старое),0.19937871152346998,-0.14640901829206032
ЕДА :: Жирная Вред Еда,-0.10441767128941531,-0.14640901829206032
ПНК :: Диарея,0.0184194075315005,-0.14640901829206032
ПНК :: Головокружение,0.10045323311811688,-0.14640901829206032
ПНК :: Мешает работать,0.5019220707337815,-0.14640901829206032
ПНК :: Тошнота,-0.016606312422753875,-0.14640901829206032
ПСХ :: Слабость вялость,0.01581114252677873,-0.14640901829206032
ПСХ :: Выпад из колеи,-0.15511566138498975,-0.14640901829206032
СОН :: Яркие сны,-0.1107289671080227,-0.14640901829206032
ЖВТ :: Дискомфорт в животе,-0.3152643806421881,-0.14640901829206032
ЖВТ :: Газы,-0.22367350294326266,-0.14640901829206032
ЖВТ :: Изжога,-0.19460679620146154,-0.14640901829206032
ЖВТ :: Кал,-0.09674065064076513,-0.14640901829206032
ЖВТ :: Вздутие,0.31262781672201256,-0.14640901829206032
