feature,coef,intercept
ЕДА :: Молочное,0.2859019262274612,-1.0252297686962446
ЕДА :: Мучное пшеница,0.009342914610804331,-1.0252297686962446
ЕДА :: Сладость (старое),-6.72686531631149e-05,-1.0252297686962446
ЕДА :: Жирная Вред Еда,0.2079017295276775,-1.0252297686962446
ПНК :: Диарея,-0.07423548185962331,-1.0252297686962446
ПНК :: Головокружение,0.251512561850273,-1.0252297686962446
ПНК :: Тошнота,-0.055847024434067534,-1.0252297686962446
ПСХ :: Слабость вялость,0.13379398472252635,-1.0252297686962446
ПСХ :: Выпад из колеи,0.14712494737931353,-1.0252297686962446
СОН :: Яркие сны,-0.008243966543341716,-1.0252297686962446
ЖВТ :: Дискомфорт в животе,0.3332672984377157,-1.0252297686962446
ЖВТ :: Газы,0.2985761574619289,-1.0252297686962446
ЖВТ :: Изжога,0.3118975836075473,-1.0252297686962446
ЖВТ :: Кал,0.4203479884541673,-1.0252297686962446
ЖВТ :: Вздутие,-0.2394927704918431,-1.0252297686962446
