feature,coef,intercept
ЕДА :: Молочное,-0.054017839795039005,-0.001308145272518435
ЕДА :: Мучное пшеница,-0.01521352802699406,-0.001308145272518435
ЕДА :: Сладость (старое),0.12419963591457793,-0.001308145272518435
ЕДА :: Жирная Вред Еда,-0.11868089297896005,-0.001308145272518435
ПНК :: Диарея,0.7117065969023431,-0.001308145272518435
ПНК :: Головокружение,-0.06680063908719673,-0.001308145272518435
ПНК :: Мешает работать,0.4120561436427528,-0.001308145272518435
ПНК :: Тошнота,-0.31262259194280906,-0.001308145272518435
ПСХ :: Слабость вялость,-0.07714523673857002,-0.001308145272518435
ПСХ :: Выпад из колеи,0.05419594355412929,-0.001308145272518435
СОН :: Яркие сны,0.06895232030931231,-0.001308145272518435
ЖВТ :: Дискомфорт в животе,0.09987926259266432,-0.001308145272518435
ЖВТ :: Газы,-0.04524315002475071,-0.001308145272518435
ЖВТ :: Изжога,-0.1710504909345094,-0.001308145272518435
ЖВТ :: Вздутие,0.1058553908989436,-0.001308145272518435
