feature,coef,intercept
ЕДА :: Молочное,0.027427023572658995,0.4200818974598052
ЕДА :: Мучное пшеница,-0.21018548381149954,0.4200818974598052
ЕДА :: Сладость (старое),0.016689467744198758,0.4200818974598052
ЕДА :: Жирная Вред Еда,-0.0007624937964885875,0.4200818974598052
ПНК :: Диарея,0.041618634444758405,0.4200818974598052
ПНК :: Мешает работать,0.12055733891733113,0.4200818974598052
ПНК :: Тошнота,0.8194878850614339,0.4200818974598052
ПСХ :: Слабость вялость,0.04733836804589697,0.4200818974598052
ПСХ :: Выпад из колеи,-0.1267450663329205,0.4200818974598052
СОН :: Яркие сны,-0.002699185499562533,0.4200818974598052
ЖВТ :: Дискомфорт в животе,-0.0580651602638716,0.4200818974598052
ЖВТ :: Газы,0.09980264565953828,0.4200818974598052
ЖВТ :: Изжога,-0.010720934969307276,0.4200818974598052
ЖВТ :: Кал,-0.03266383472571748,0.4200818974598052
ЖВТ :: Вздутие,-0.0073932081250939145,0.4200818974598052
