feature,coef,intercept
ЕДА :: Молочное,-0.004162230069706139,-0.032655918500487324
ЕДА :: Мучное пшеница,0.08606716792653737,-0.032655918500487324
ЕДА :: Сладость (старое),0.0038127277085624116,-0.032655918500487324
ЕДА :: Жирная Вред Еда,-0.06634899890297613,-0.032655918500487324
ПНК :: Диарея,0.14204961949435704,-0.032655918500487324
ПНК :: Головокружение,0.7522819733821517,-0.032655918500487324
ПНК :: Мешает работать,-0.024573789198928442,-0.032655918500487324
ПСХ :: Слабость вялость,0.050212624224999995,-0.032655918500487324
ПСХ :: Выпад из колеи,0.14714873298675163,-0.032655918500487324
СОН :: Яркие сны,0.03707106006644791,-0.032655918500487324
ЖВТ :: Дискомфорт в животе,0.1685556983212152,-0.032655918500487324
ЖВТ :: Газы,-0.08754114370188996,-0.032655918500487324
ЖВТ :: Изжога,-0.0036252789034473256,-0.032655918500487324
ЖВТ :: Кал,-0.14032822409780749,-0.032655918500487324
ЖВТ :: Вздутие,-0.021901638697739062,-0.032655918500487324
