feature,coef,intercept
ЕДА :: Молочное,-0.14853151180197793,-0.8053080523766694
ЕДА :: Мучное пшеница,0.3135069285120284,-0.8053080523766694
ЕДА :: Сладость (старое),0.09350436713383903,-0.8053080523766694
ЕДА :: Жирная Вред Еда,-0.04817638481582175,-0.8053080523766694
ПНК :: Диарея,0.44711364128525166,-0.8053080523766694
ПНК :: Головокружение,-0.013260970967754242,-0.8053080523766694
ПНК :: Мешает работать,-0.019413899853860436,-0.8053080523766694
ПНК :: Тошнота,0.19839900035343144,-0.8053080523766694
ПСХ :: Слабость вялость,0.2139338443960569,-0.8053080523766694
ПСХ :: Выпад из колеи,0.4558257366643376,-0.8053080523766694
ЖВТ :: Дискомфорт в животе,-0.4690713907856178,-0.8053080523766694
ЖВТ :: Газы,0.20862832620926267,-0.8053080523766694
ЖВТ :: Изжога,0.0338295507350052,-0.8053080523766694
ЖВТ :: Кал,0.16564488484257686,-0.8053080523766694
ЖВТ :: Вздутие,0.10124123816476571,-0.8053080523766694
