feature,coef,intercept
ЕДА :: Молочное,0.4062401080429491,-0.2564304900358616
ЕДА :: Мучное пшеница,-0.13033360638053929,-0.2564304900358616
ЕДА :: Сладость (старое),0.01854367805694836,-0.2564304900358616
ЕДА :: Жирная Вред Еда,0.1883522117866604,-0.2564304900358616
ПНК :: Диарея,-0.1268451688154632,-0.2564304900358616
ПНК :: Головокружение,-0.035186279884905435,-0.2564304900358616
ПНК :: Мешает работать,-0.5463447838731348,-0.2564304900358616
ПНК :: Тошнота,-0.11354784951152246,-0.2564304900358616
ПСХ :: Слабость вялость,0.07247866730602882,-0.2564304900358616
ПСХ :: Выпад из колеи,-0.04656756968238965,-0.2564304900358616
СОН :: Яркие сны,0.09807431343609595,-0.2564304900358616
ЖВТ :: Дискомфорт в животе,0.5578060625520184,-0.2564304900358616
ЖВТ :: Газы,0.5578595549031491,-0.2564304900358616
ЖВТ :: Изжога,0.2700677136042439,-0.2564304900358616
ЖВТ :: Кал,0.24634284516598956,-0.2564304900358616
