Дата,ЕДА-ОБЩ-ПНК :: Общее количество еды (обжорство) 🥙 :: {end} p2,ЕДА-ПНК 🍽️ :: Молочное 🥛 :: {end} def0 p3,ЕДА-ПНК 🍽️ :: Мучное (пшеница) 🍞 :: {end} p3,ЕДА-ПНК 🍽️ :: Сладости 🍬 :: {end} p3,ЖВТ-ОБЩ 🫀 :: Вздутие 🎈 :: {all} p2,ЖВТ-ОБЩ 🫀 :: Газы 💨 :: {all} p2,ЖВТ-ОБЩ 🫀 :: Дискомфорт в животе 🤕 :: {all} p3,ЖВТ-ОБЩ-ПНК 🫀 :: Изжога 🔥 :: {all} p3,ЖВТ-ОБЩ-ПНК 🫀 :: Кал (плохой) 🟤 :: {end} p2,ЖВТ-ПНК :: Кожная аллергия :: {} p4 def0,ЖВТ-ПНК 🟤 :: Головокружение 🌀 :: {end} p2,ЖВТ-ПНК 🟤 :: Диарея 🚽 :: {end} def0 p3,ЖВТ-ПНК 🟤 :: Запор 🚽 :: {one} def0 p3,ЖВТ-ПНК 🟤 :: Панкреатит и моя субъективная оценка 🩺💼 :: {end} p0,ЖВТ-ПНК 🟤 :: Панкреатит мешает работать 🩺💼 :: {one} def0 p1,ЖВТ-ПНК 🟤 :: Тошнота 🤮 :: {end} def0 p4,ЖВТ-ПНК 🟤 :: Ферменты 💊 :: {one} pos def1 p4,ЗДР :: Неприятные ощущения в спине :: {end} def0 p3,ЗДР 💪 :: Зарядка 🏋️ :: {start} def0 p4 pos,ЗДР 💪 :: Объективно я заболел (в основном простуда) 🩺 :: {} p3 def0,ЗДР 💪 :: Прогулка 🚶 :: {end} pos p3,МШН-ОБЩ 🚗 :: Езда на машине :: {end} p3,МШН-ПСХ-НРВ 🚗 :: Агрессия за рулем 🤬 :: {one} p3,МШН-ПСХ-НРВ 🚗 :: Нервозность и стресс за рулем 😠 :: {one} p3,МШН-ПСХ-НРВ 🚗 :: Раздражает (нервирует) езда за рулем 😠 :: {one} p2,МШН-ПСХ-НРВ 🤬 :: Нервозность в дороге 🚗 🤬 :: {one} p3,ОБЩ-ПСХ-ТРВ :: Страх за будущее :: {end} p1,ОБЩ-ПСХ-ЭНР :: Доволен результатом активности :: {end} p1 pos,ОБЩ-ПСХ-ЭНР :: Мотивация и желание активность (движение вперед) 🔥 :: {end} pos p1,ОБЩ-ПСХ-ЭНР 🧘‍♂️ :: Жизненная энергия 🔋(общее состояние) :: {all} p0 pos,ОБЩ-ПСХ-ЭНР 🧘‍♂️ :: Лебидо 💪🏻 :: {end} pos p2,ОБЩ-ПСХ-ЭНР 🧘‍♂️ :: Настроение 🌞 :: {end} p0 pos,ОБЩ-ПСХ-ЭНР 🧘‍♂️ :: Позитив в жизни 🌞 :: {all} p1 pos,ОБЩ-ПСХ-ЭНР-НПР 🧘‍♂️ :: Общее напряжение ⚡ :: {all} p0,ОБЩ-ПСХ-ЭНР-ОТД 👤 :: Отдых (качество) 🏝️ :: {end} pos p1,ОБЩ-ПСХ-ЭНР-ОТД 👤 :: Отдых (количество) 🏝️ :: {end} pos p1,"ОБЩ-ПСХ-ЭНР-ОТД 👤 :: Тишина, покой, одиночество 🧘🏻‍♂️ :: {end} pos p1",ОБЩ-ПСХ-ЭНР-ОТД 👤 :: Хочу отдыхать :: {end} p0,ОБЩ-ПСХ-ЭНР-ОТД-УСТ 👤 :: Общее ощущение усталости 😩 :: {end} p0,ОБЩ-ПСХ-ЭНР-ОТД-УСТ 👤 :: Усталость к середине дня 😪 :: {one} p0,ОБЩ-ПСХ-ЭНР-ОТД-УСТ 🧘‍♂️ :: Слабость вялость 😔 :: {all} p2,ОБЩ-ПСХ-ЭНР-ОТД-УСТ👤 ::  Усталость к концу дня :: {end} p0,ПРД-МЛК 🥗🥛 :: Мороженное 🍦 :: {} def0 p4,ПРД-МЛК-ПНК 🥗🥛 :: Йогурт 🍶 :: {} def0 p4,ПРД-МЛК-ПНК 🥗🥛 :: Сыр 🧀 :: {all} def0 p3,ПРД-МЛК-ПНК 🥗🥛 :: Творог 🍶 :: {all} def0 p4,ПРД-МУЧ 🥗🌾 :: Лапша 🍜 :: {end} def0 p3,ПРД-МУЧ 🥗🌾 :: Пельмени 🥟 :: {} def0 p4,ПРД-МУЧ 🥗🌾 :: Пицца 🍕 :: {} def0 p4,ПРД-МУЧ-ПНК 🥗🌾 :: Выпечка (булочки) 🥐 :: {all} def0 p3,ПРД-МУЧ-ПНК 🥗🌾 :: Печенья 🍪 :: {all} def0 p3,ПРД-МЯС 🥗 :: Плов :: {} def0 p4,ПРД-МЯС 🥗 :: Шашлык 🍢 :: {} def0 p4,ПРД-МЯС-ПНК 🥗 :: Свинина жареная 🥩 :: {} def0 p4,ПРД-ОБЩ :: Овощи свежие 🥗 :: {end} pos def0 p3,ПРД-ОБЩ 🥗 :: Рис 🍚 :: {all} def0 p3,ПРД-ОБЩ-ПНК 🥗 :: Жареная или жирная еда 🍟 :: {all} p3,ПРД-ОБЩ-ПНК 🥗 :: Кофе ☕ :: {end} def0 p3,ПРД-РЫБ 🥗 :: Уха :: {} def0 p4,ПРД-СЛД-ПНК 🥗 :: Конфеты 🍬 :: {end} def0 p4,ПРД-СЛД-ПНК 🥗 :: Снеки  :: {end} def0 p3,ПРД-СЛД-ПНК 🥗 :: Шоколад 🍫 :: {end} def0 p4,ПРД-ФРК 🥗🍇 :: Яблоки 🍎 :: {} def0 p4,ПСХ-Chat 🧘‍♂️ :: Была ли поддержка или доброта от кого-то? ❤️ :: {end} pos p1,ПСХ-Chat 🧘‍♂️ :: Было ли ощущение смысла/ценности в дне? 💡 :: {end} pos p1,ПСХ-Chat 🧘‍♂️ :: Чувство вины за день 😞 :: {end} p1,ПСХ-НРВ 🤬 ::  Доводит жена :: {end} def0 p2,ПСХ-НРВ 🤬 :: Агрессия 🤬 :: {all} p2,ПСХ-НРВ 🤬 :: Доводят дети 🧒😤 :: {end} def0 p1,ПСХ-НРВ 🤬 :: Кричу на детей 🧒😤 :: {end} def0 p2,ПСХ-НРВ 🤬 :: Кричу на жену 😤 :: {end} def0 p3,ПСХ-НРВ 🤬 :: Нервозность в общем 😬 :: {all} p1,ПСХ-НРВ 🤬 :: Тики Нервные 😵‍💫 :: {all} p1,ПСХ-НСТ 🧘‍♂️ :: Апатия 😢 :: {end} p2,ПСХ-НСТ 🧘‍♂️ :: Выпад из колеи (не рабочее состояние) 🛑 :: {end} p3 fv,ПСХ-НСТ 🧘‍♂️ :: Депрессия 🌧️ :: {end} def0 p4,ПСХ-НСТ 🧘‍♂️ :: Удовольствие от дня (доволен) 👍🏻 :: {end} p0 pos,"ПСХ-ОБЩ :: Чувство брошенности, ненужности ❤️ :: {end} pos p1",ПСХ-ТРВ 🧘‍♂️ :: Суетливость 🤯 :: {all} p3,ПСХ-ТРВ 🧘‍♂️ :: Тревога 👻 :: {all} p2,РБТ-ОБЩ-ПСХ 💼 :: Гиперфокус (повышенная нагрузка) 🎯⚡ :: {all} p3,РБТ-ОБЩ-ПСХ 💼 :: Эффективность в реальной работе 📈 :: {all} p1 pos,РБТ-ПСХ 💼 :: Доволен результатом реальной работой 👍🏻 :: {all} p1 pos,РБТ-ПСХ 💼 :: Комфорт в реальной работе 😓 :: {all} pos p2,РБТ-ПСХ- ТРВ 💼 :: Желание сбежать от реальных трудностей 🏃‍♂️👻 :: {all} p3,РБТ-ПСХ-НРВ 💼 :: Напряжение в реальной работе :: {end} p3,"РБТ-ПСХ-НРВ 💼 :: Раздражает (нервирует, отвращение) реальная работа 😠 :: {all} p1",РБТ-ПСХ-НРВ 💼 :: Размеренная и спокойная реальная работа :: {end} pos p2,РБТ-ПСХ-ТРВ :: Работа вызывает сонливость :: {one} p2,РБТ-ПСХ-ТРВ 💼 :: Преодолел желание сбежать от реальных трудностей :: {end} p3 pos},РБТ-ПСХ-ТРВ 💼 :: Прокрастинация 😵⏳ :: {all} def0 p3,РБТ-ПСХ-ТРВ 💼 :: Сбежал от проблем в реальной активности 😱 :: {end} p3,РБТ-ПСХ-ТРВ 🧘‍♂️ :: Страх работы 😱 :: {end} p2,РБТ-ПСХ-ЭНР 💼 :: Мотивация и желание на реальную работу 🔥 :: {all} p0 pos,РБТ-ПСХ-ЭНР 💼 :: Получил удовольствие от реальной работы 🔥 :: {all} pos p0,СОН 🛌 :: Высыпание 😴 :: {start} pos p1,СОН 🛌 :: Длительность сна 🕜 :: {start} pos p3,СОН 🛌 :: Дневной сон 😴 :: {one} def0 p3,СОН 🛌 :: Качество сна 😴 :: {start} pos p3,СОН 🛌 :: Поздно лег спать 🕜 :: {start} p3,СОН 🛌 :: Яркие сны 🌈🛌 :: {} p4 def0,СОН-ПНК 🛌 :: Сонливость 😴 :: {all} p2
11.06.25,2,0,4,1,2,3,3,2,4,2,0,4,0,4,1,0,1,1,2,0,4,1,0,0,0,0,1,4,4,4,3,4,4,4,1,1,0,4,3,4,3,4,0,0,0,0,0,0,0,4,4,0,0,0,2,1,2,1,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,4,0,3,0,4,4,4,4,0,4,1,0,1,4,0,0,0,4,4,3,4,1,4,0,0,3
10.06.25,4,3,4,4,2,1,2,0,4,0,1,4,0,4,0,0,1,1,3,0,4,1,0,0,0,0,1,4,4,4,3,4,4,4,1,1,0,4,1,0,1,4,1,0,0,0,4,0,0,2,4,0,0,0,0,1,2,2,0,0,0,0,0,2,4,0,1,0,1,0,1,0,1,0,0,0,4,0,3,2,4,4,4,4,0,4,0,1,0,4,0,0,0,4,4,4,4,2,4,0,0,1
09.06.25,3,2,3,3,2,2,0,3,3,3,1,2,0,3,0,0,1,2,4,0,2,1,0,0,0,0,0,4,4,4,3,4,4,4,2,1,2,4,4,4,4,4,0,0,1,0,0,0,0,0,4,0,0,0,1,1,2,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,5,5,4,0,4,0,1,2,4,0,0,0,4,4,0,1,0,1,5,0,5
08.06.25,,2,2,2,,,2,,,0,,0,0,,0,0,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,,,,,,0,,,,,3,4,0,4,4,0,
07.06.25,2,0,2,2,3,3,2,2,1,0,1,0,0,2,0,0,1,3,0,0,4,,,,,,0,4,4,4,3,4,4,1,4,4,1,3,4,1,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,4,1,3,1,0,0,2,2,1,0,0,0,4,0,0,0,,,,,,,,,,,0,,,,,3,4,0,4,1,0,2
06.06.25,2,0,2,4,3,4,2,3,3,0,1,0,0,2,0,0,1,0,0,0,2,1,3,4,4,4,0,4,4,4,1,3,3,5,1,1,0,4,4,1,2,4,0,0,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,3,1,0,1,4,1,4,4,4,4,4,4,1,1,0,0,3,3,3,0,4,5,4,4,0,4,0,2,1,4,0,0,0,4,4,4,3,0,4,4,0,2
05.06.25,3,0,2,4,3,3,2,2,3,0,0,2,0,2,0,0,1,1,2,0,1,1,0,0,0,0,1,4,4,4,1,4,4,4,3,1,1,3,3,0,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,4,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,4,4,4,3,0,3,0,1,0,4,0,0,0,4,4,2,2,0,2,1,0,2
04.06.25,1,0,1,2,1,2,1,2,2,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,3,1,1,4,4,3,2,3,3,,2,1,1,4,4,3,3,4,0,0,1,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,2,1,0,2,4,0,0,0,0,0,0,2,1,0,0,0,3,1,2,1,4,4,4,4,0,3,0,1,0,4,0,0,1,4,3,2,4,2,2,1,0,3
03.06.25,4,1,2,4,1,2,1,3,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,5,4,3,2,4,3,3,4,1,1,4,3,2,3,4,0,0,1,0,0,0,0,3,3,0,0,0,4,0,2,0,0,1,4,0,0,2,4,0,0,0,0,0,0,1,1,0,0,0,4,0,2,1,3,5,5,4,0,3,0,2,0,4,0,0,1,5,4,2,4,1,3,0,0,4
02.06.25,4,2,3,4,3,2,1,1,0,0,1,0,0,2,0,0,1,2,2,0,4,1,0,0,1,0,1,5,4,3,2,3,2,5,3,2,0,3,2,2,3,4,2,0,0,0,1,0,0,0,4,0,0,0,4,0,2,0,0,0,3,0,0,4,4,1,0,2,2,1,0,3,1,0,0,0,3,0,3,1,1,5,4,1,0,2,0,2,1,4,0,0,1,3,2,1,1,0,2,5,0,4
01.06.25,4,2,2,4,2,3,3,2,3,0,1,2,0,4,0,0,1,2,0,0,4,1,1,2,1,2,1,4,3,1,2,2,2,1,3,4,2,4,4,4,3,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,4,2,0,0,,2,1,2,3,0,0,1,1,0,0,1,1,1,1,0,2,1,1,2,0,,,,,,,,,,,,,,,3,5,2,4,0,0,4
31.05.25,3,3,4,4,1,3,1,2,0,0,1,0,0,1,0,0,1,2,0,0,1,,,,,,1,,2,3,1,3,3,0,5,5,5,4,4,3,4,4,0,0,0,0,0,0,0,0,4,0,0,0,3,1,3,2,0,0,,0,0,0,3,1,0,0,0,0,0,0,2,1,,0,3,2,0,1,0,,,,,,,,,,,,,,,2,2,4,2,4,0,3
30.05.25,3,1,2,4,1,4,1,1,3,0,1,1,0,2,0,0,1,0,0,0,2,,0,1,2,0,1,5,4,5,1,3,4,2,3,3,2,3,3,3,3,3,0,0,0,0,1,0,0,0,3,0,0,0,2,0,2,2,0,0,,3,0,1,3,1,0,0,0,0,0,1,1,1,0,0,3,3,3,2,3,3,3,3,1,2,0,2,3,4,0,0,0,4,3,3,3,0,4,2,0,3
29.05.25,2,1,0,4,2,3,3,1,3,0,1,4,0,3,2,0,1,3,0,0,1,,0,0,2,1,1,5,4,1,1,3,4,3,1,1,1,3,4,4,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,,4,1,4,5,0,0,3,0,0,0,4,0,0,3,0,4,1,2,2,2,5,5,4,0,2,3,4,3,4,0,0,1,1,3,2,5,0,4,0,2,4
28.05.25,3,1,0,4,1,3,0,1,2,0,1,2,0,2,0,0,1,2,0,0,5,,1,2,3,1,2,4,3,3,1,1,3,5,1,3,1,5,5,1,2,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,,0,1,0,1,3,5,4,5,2,2,4,1,3,0,0,2,4,1,1,2,4,4,4,0,2,0,2,0,,0,0,1,4,4,3,5,0,4,0,0,0
27.05.25,4,0,2,5,0,4,1,2,4,0,1,4,1,4,1,0,1,2,0,0,3,,0,2,3,2,0,4,3,2,1,2,4,2,2,,2,4,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1,0,0,,0,0,4,4,1,,1,,,0,2,1,1,1,0,4,1,1,2,0,4,4,2,2,2,1,1,1,3,0,0,3,3,3,3,3,0,4,2,0,2
26.05.25,2,3,0,3,3,4,4,2,4,0,1,4,0,5,3,0,1,0,0,0,2,,4,5,5,4,5,2,0,1,0,1,1,4,1,2,2,5,5,5,4,,0,0,2,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,,2,0,0,1,5,,4,0,0,0,4,2,5,4,0,1,4,1,4,1,2,2,1,5,4,5,2,4,1,0,3,4,1,1,3,2,3,4,3,0,4
25.05.25,2,2,2,3,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,,1,2,4,2,3,,5,2,1,2,2,2,,2,2,4,4,3,1,,0,0,2,2,0,0,0,0,2,0,0,2,,2,2,3,0,0,,2,0,1,1,3,,1,1,0,0,2,1,2,,0,1,,2,3,,,,,,,,,,,,,,,,3,3,2,4,4,0,1
24.05.25,3,2,1,3,1,1,1,1,0,1,1,0,,1,0,0,1,1,0,0,1,,,,,,,5,5,4,1,4,4,1,,2,5,,2,0,1,,0,0,0,1,0,0,0,0,2,0,0,0,,1,3,1,0,0,,2,0,2,4,1,,0,0,0,0,0,2,0,0,0,5,,2,1,1,,,,,,,,,,,,,2,,2,2,2,4,5,0,1
23.05.25,,3,3,3,0,2,1,3,0,,1,0,,2,0,0,1,,0,1,2,,0,0,1,0,,,,3,1,3,3,3,,,,,3,0,1,,0,0,2,3,0,2,0,2,4,0,0,0,,0,4,1,0,0,,2,0,3,4,1,,1,0,0,0,,4,1,0,0,4,,2,3,2,4,4,3,3,,2,,,,1,0,4,3,4,3,2,1,4,4,0,2
22.05.25,,4,4,4,1,2,1,0,1,,2,0,1,2,0,1,1,,0,1,3,,0,1,3,2,,,,2,1,2,3,4,,,,,2,1,4,,0,0,5,3,0,1,0,2,3,0,0,0,,2,4,1,0,0,,0,0,2,4,5,,1,2,0,0,2,4,3,2,3,3,,2,4,4,1,2,0,4,,4,,,,4,4,4,1,1,2,2,3,4,4,0,2
21.05.25,,3,2,2,1,3,2,3,1,,1,0,2,2,0,0,1,,0,1,2,,2,3,4,4,,,,3,1,3,2,4,,,,,1,0,1,,0,0,2,2,0,0,0,0,3,0,0,0,,2,3,1,0,0,,0,0,1,2,4,,1,5,5,,4,4,1,0,0,3,,2,1,2,2,3,0,4,,4,,,,3,2,4,1,1,,3,,4,3,0,0
