Ключ,Название,Описание
eda_obshch_pnk_obshchee_kolichestvo_edy_obzhorstvo_end_p2,ЕДА-ОБЩ-ПНК :: Общее количество еды (обжорство) 🥙 :: {end} p2,
eda_pnk_molochnoe_end_def0_p3,ЕДА-ПНК 🍽️ :: Молочное 🥛 :: {end} def0 p3,
eda_pnk_muchnoe_pshenitsa_end_p3,ЕДА-ПНК 🍽️ :: Мучное (пшеница) 🍞 :: {end} p3,
eda_pnk_sladosti_end_p3,ЕДА-ПНК 🍽️ :: Сладости 🍬 :: {end} p3,
zhvt-obshch-vzdutie-all-p2,ЖВТ-ОБЩ 🫀 :: Вздутие 🎈 :: {all} p2,
zhvt-obshch-gazy-all-p2,ЖВТ-ОБЩ 🫀 :: Газы 💨 :: {all} p2,"30.05 Поднялось до 4х. Началось после срыва панкреатита 26.05
23.05.25 Ну в целом радует, что в районе 2ух находится. А не 3-4"
zhvt-obshch-diskomfort-v-zhivote-all-p3,ЖВТ-ОБЩ 🫀 :: Дискомфорт в животе 🤕 :: {all} p3,
zhvt_obshch_pnk_izzhoga_all_p3,ЖВТ-ОБЩ-ПНК 🫀 :: Изжога 🔥 :: {all} p3,Сидит ровно на 50%. Задолбала. 
zhvt_obshch_pnk_kal_plokhoi_end_p2,ЖВТ-ОБЩ-ПНК 🫀 :: Кал (плохой) 🟤 :: {end} p2,
zhvt_pnk_kozhnaia_allergiia_p4_def0,ЖВТ-ПНК :: Кожная аллергия :: {} p4 def0,
zhvt_pnk_golovokruzhenie_end_p2,ЖВТ-ПНК 🟤 :: Головокружение 🌀 :: {end} p2,"Стабильно уменьшается. Надо ждать. 👍
За последнюю неделю держаться на одном уровне 🤔"
zhvt_pnk_diareia_end_def0_p3,ЖВТ-ПНК 🟤 :: Диарея 🚽 :: {end} def0 p3,
zhvt_pnk_zapor_one_def0_p3,ЖВТ-ПНК 🟤 :: Запор 🚽 :: {one} def0 p3,
zhvt_pnk_pankreatit_i_moia_subektivnaia_otsenka_end_p0,ЖВТ-ПНК 🟤 :: Панкреатит и моя субъективная оценка 🩺💼 :: {end} p0,
zhvt_pnk_pankreatit_meshaet_rabotat_one_def0_p1,ЖВТ-ПНК 🟤 :: Панкреатит мешает работать 🩺💼 :: {one} def0 p1,
zhvt_pnk_toshnota_end_def0_p4,ЖВТ-ПНК 🟤 :: Тошнота 🤮 :: {end} def0 p4,
zhvt_pnk_fermenty_one_pos_def1_p4,ЖВТ-ПНК 🟤 :: Ферменты 💊 :: {one} pos def1 p4,
zdr_nepriiatnye_oshchushcheniia_v_spine_end_def0_p3,ЗДР :: Неприятные ощущения в спине :: {end} def0 p3,
zdr_zariadka_start_def0_p4_pos,ЗДР 💪 :: Зарядка 🏋️ :: {start} def0 p4 pos,
zdr_obektivno_ia_zabolel_v_osnovnom_prostuda_p3_def0,ЗДР 💪 :: Объективно я заболел (в основном простуда) 🩺 :: {} p3 def0,
zdr_progulka_end_pos_p3,ЗДР 💪 :: Прогулка 🚶 :: {end} pos p3,
mshn_obshch_ezda_na_mashine_end_p3,МШН-ОБЩ 🚗 :: Езда на машине :: {end} p3,
mshn_pskh_nrv_agressiia_za_rulem_one_p3,МШН-ПСХ-НРВ 🚗 :: Агрессия за рулем 🤬 :: {one} p3,Проверка
mshn_pskh_nrv_nervoznost_i_stress_za_rulem_one_p3,МШН-ПСХ-НРВ 🚗 :: Нервозность и стресс за рулем 😠 :: {one} p3,
mshn_pskh_nrv_razdrazhaet_nerviruet_ezda_za_rulem_one_p2,МШН-ПСХ-НРВ 🚗 :: Раздражает (нервирует) езда за рулем 😠 :: {one} p2,
mshn_pskh_nrv_nervoznost_v_doroge_one_p3,МШН-ПСХ-НРВ 🤬 :: Нервозность в дороге 🚗 🤬 :: {one} p3,
obshch_pskh_trv_strakh_za_budushchee_end_p1,ОБЩ-ПСХ-ТРВ :: Страх за будущее :: {end} p1,
obshch_pskh_enr_dovolen_rezultatom_aktivnosti_end_p1_pos,ОБЩ-ПСХ-ЭНР :: Доволен результатом активности :: {end} p1 pos,
obshch_pskh_enr_motivatsiia_i_zhelanie_aktivnost_dvizhenie_vpered_end_pos_p1,ОБЩ-ПСХ-ЭНР :: Мотивация и желание активность (движение вперед) 🔥 :: {end} pos p1,
obshch_pskh_enr_zhiznennaia_energiia_obshchee_sostoianie_all_p0_pos,ОБЩ-ПСХ-ЭНР 🧘‍♂️ :: Жизненная энергия 🔋(общее состояние) :: {all} p0 pos,"Не удивительно, что на фоне напряжения, стресса, тревоги жизненная энергия на СРЕДНЕМ уровне. "
obshch_pskh_enr_lebido_end_pos_p2,ОБЩ-ПСХ-ЭНР 🧘‍♂️ :: Лебидо 💪🏻 :: {end} pos p2,
obshch_pskh_enr_nastroenie_end_p0_pos,ОБЩ-ПСХ-ЭНР 🧘‍♂️ :: Настроение 🌞 :: {end} p0 pos,"На удивление, в целом, настроение почти хорошее 😅"
obshch_pskh_enr_pozitiv_v_zhizni_all_p1_pos,ОБЩ-ПСХ-ЭНР 🧘‍♂️ :: Позитив в жизни 🌞 :: {all} p1 pos,"25.05.25 Не понимаю как, но позитив за 7 дн. 79% 🤔"
obshch_pskh_enr_npr_obshchee_napriazhenie_all_p0,ОБЩ-ПСХ-ЭНР-НПР 🧘‍♂️ :: Общее напряжение ⚡ :: {all} p0,⚠️⛔️‼️А вот тут очень и очень опасно пока. Надо всеми силами снижать напряжение с себя. 
obshch_pskh_enr_otd_otdykh_kachestvo_end_pos_p1,ОБЩ-ПСХ-ЭНР-ОТД 👤 :: Отдых (качество) 🏝️ :: {end} pos p1,
